ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0030117	GO:0030117	membrane coat	11/487	103/22585	0.106796116504854	4.95275213811527	5.96882919780893	1.40073419728763e-05	0.000531307124090108	0.00041055074441814	COPZ1/CLINT1/COPB1/SEC13/NECAP2/AP2M1/PEF1/CLTB/COPB2/AP4M1/CHMP4A	11
GO:0048475	GO:0048475	coated membrane	11/487	103/22585	0.106796116504854	4.95275213811527	5.96882919780893	1.40073419728763e-05	0.000531307124090108	0.00041055074441814	COPZ1/CLINT1/COPB1/SEC13/NECAP2/AP2M1/PEF1/CLTB/COPB2/AP4M1/CHMP4A	11
GO:0030120	GO:0030120	vesicle coat	9/487	68/22585	0.132352941176471	6.13796956154125	6.29910935710535	1.49243574182614e-05	0.000531307124090108	0.00041055074441814	COPZ1/CLINT1/COPB1/SEC13/NECAP2/AP2M1/PEF1/CLTB/COPB2	9
GO:0000315	GO:0000315	organellar large ribosomal subunit	8/487	58/22585	0.137931034482759	6.39665793386674	6.10907753426482	3.28430461429349e-05	0.00103165803766631	0.000797181058082384	MRPL28/MRPL4/MRPL27/MRPL2/MRPL37/MRPL49/MPV17L2/MRPL45	8
GO:0005762	GO:0005762	mitochondrial large ribosomal subunit	8/487	58/22585	0.137931034482759	6.39665793386674	6.10907753426482	3.28430461429349e-05	0.00103165803766631	0.000797181058082384	MRPL28/MRPL4/MRPL27/MRPL2/MRPL37/MRPL49/MPV17L2/MRPL45	8
GO:0000776	GO:0000776	kinetochore	14/487	185/22585	0.0756756756756757	3.50951773128365	5.08792325829	5.17022868124078e-05	0.00148922865585261	0.0011507542540789	RANGAP1/SMARCD2/CHMP3/SMARCA4/CHMP1A/SMARCC2/DYNC1LI1/SEC13/PMF1/DCTN2/CHMP6/SS18L1/HSF1/CHMP4A	14
GO:0000151	GO:0000151	ubiquitin ligase complex	20/487	339/22585	0.0589970501474926	2.73603362953002	4.78101872980158	5.29875364441941e-05	0.00148922865585261	0.0011507542540789	RNF31/DMAC2/CRBN/RNF7/KLHDC3/FBXL12/DDA1/UBAC1/MED10/PHC2/DCAF7/BABAM2/MED8/PEF1/UBE2E1/USP47/COMMD1/SHARPIN/KLHL25/IKBKG	20
GO:0098800	GO:0098800	inner mitochondrial membrane protein complex	14/487	187/22585	0.0748663101604278	3.47198278228596	5.03906607585974	5.8121669316733e-05	0.00155184857075677	0.00119914180906102	NDUFB2/SAMM50/TIMM50/DMAC2/ATP5PB/COX6B1/TIMM10/ATP5PF/NDUFB6/UQCRFS1/COX5A/CYC1/SDHD/NDUFS3	14
GO:0000815	GO:0000815	ESCRT III complex	4/487	11/22585	0.363636363636364	16.8639163711032	7.81251604954073	6.24799142826557e-05	0.00158877496318753	0.00122767550871183	CHMP3/CHMP1A/CHMP6/CHMP4A	4
GO:0005828	GO:0005828	kinetochore microtubule	5/487	21/22585	0.238095238095238	11.041850004889	6.83445298711879	6.98353460766473e-05	0.00169509430931498	0.00130983041445195	CHMP3/CHMP1A/BBLN/CHMP6/CHMP4A	5
GO:0005838	GO:0005838	proteasome regulatory particle	5/487	22/22585	0.227272727272727	10.5399477319395	6.64580114989467	8.8780227999585e-05	0.00198154515375914	0.00153117622762386	PSMC5/PSMD9/ADRM1/PSMD6/PSMC3	5
GO:1904930	GO:1904930	amphisome membrane	4/487	12/22585	0.333333333333333	15.4585900068446	7.43721529332317	9.21239885127877e-05	0.00198154515375914	0.00153117622762386	CHMP3/CHMP1A/CHMP6/CHMP4A	4
GO:0000779	GO:0000779	condensed chromosome, centromeric region	14/487	196/22585	0.0714285714285714	3.31255500146671	4.82715436147208	9.64018977824139e-05	0.00198154515375914	0.00153117622762386	RANGAP1/SMARCD2/CHMP3/SMARCA4/CHMP1A/SMARCC2/DYNC1LI1/SEC13/PMF1/DCTN2/CHMP6/SS18L1/HSF1/CHMP4A	14
GO:0005851	GO:0005851	eukaryotic translation initiation factor 2B complex	3/487	5/22585	0.6	27.8254620123203	8.90550747356668	9.64797265875238e-05	0.00198154515375914	0.00153117622762386	EIF2B1/EIF2B2/EIF2B5	3
GO:0005819	GO:0005819	spindle	24/487	475/22585	0.0505263157894737	2.3431968010375	4.39218385180871	0.000114228479928038	0.00225918549191008	0.00174571400123941	POLDIP2/RASSF1/NUDC/RANGAP1/EMD/PYCR3/IK/CHMP3/CEP104/WRAP73/FAM110A/MAP1S/CHMP1A/DYNC1LI1/PMF1/LEMD2/SAC3D1/BBLN/CHMP6/SGF29/HSF1/TMEM201/CHMP4A/IKBKG	24
GO:0005746	GO:0005746	mitochondrial respirasome	10/487	114/22585	0.087719298245614	4.06805000180122	4.87519607963256	0.000182306999561834	0.00347685492021498	0.00268662946722703	NDUFB2/DMAC2/COX6B1/NDUFB6/UQCRFS1/COX5A/CYC1/SDHD/NDUFS3/STMP1	10
GO:0044753	GO:0044753	amphisome	4/487	15/22585	0.266666666666667	12.3668720054757	6.53746306572485	0.000241299020145314	0.00443252421281563	0.00342509263044299	CHMP3/CHMP1A/CHMP6/CHMP4A	4
GO:0022624	GO:0022624	proteasome accessory complex	5/487	27/22585	0.185185185185185	8.58810555935812	5.85670539033244	0.000249018214203125	0.00443252421281563	0.00342509263044299	PSMC5/PSMD9/ADRM1/PSMD6/PSMC3	5
GO:0070469	GO:0070469	respirasome	10/487	122/22585	0.0819672131147541	3.80129262463392	4.60567133615554	0.000316925505808468	0.00543445670918277	0.0041993042184105	NDUFB2/DMAC2/COX6B1/NDUFB6/UQCRFS1/COX5A/CYC1/SDHD/NDUFS3/STMP1	10
GO:0005840	GO:0005840	ribosome	16/487	274/22585	0.0583941605839416	2.708074161783	4.22290114452492	0.000325660327142039	0.00543445670918277	0.0041993042184105	MRPS34/MRPL28/APEX1/USP10/MRPL4/MRPL27/MRPL2/MRPL37/MRPS7/MRPS12/NHP2/MRPL49/ZNF598/MRPS17/MPV17L2/MRPL45	16
GO:0032585	GO:0032585	multivesicular body membrane	5/487	29/22585	0.172413793103448	7.99582241733343	5.5962249232882	0.000353537423930472	0.00572087831451128	0.0044206274379823	CHMP3/CHMP1A/CD63/CHMP6/CHMP4A	5
GO:0036452	GO:0036452	ESCRT complex	5/487	30/22585	0.166666666666667	7.72929500342231	5.47516495179327	0.000416789245241877	0.00654604285174007	0.0050582471868364	CHMP3/CHMP1A/SNF8/CHMP6/CHMP4A	5
GO:0009295	GO:0009295	nucleoid	6/487	47/22585	0.127659574468085	5.92031106645113	5.01270596300248	0.00049467230448827	0.00733763918324267	0.00566992816840356	POLDIP2/HSD17B10/HADHA/MTERF2/UQCC2/TUFM	6
GO:0042645	GO:0042645	mitochondrial nucleoid	6/487	47/22585	0.127659574468085	5.92031106645113	5.01270596300248	0.00049467230448827	0.00733763918324267	0.00566992816840356	POLDIP2/HSD17B10/HADHA/MTERF2/UQCC2/TUFM	6
GO:0019773	GO:0019773	proteasome core complex, alpha-subunit complex	3/487	8/22585	0.375	17.3909137577002	6.8834073428667	0.00051472824328674	0.00742878059230051	0.00574035480422196	PSMA4/PSMA2/PSMA1	3
GO:1904949	GO:1904949	ATPase complex	12/487	182/22585	0.0659340659340659	3.05774307827696	4.1377303282691	0.000616323402536694	0.00833388014966589	0.00643974180695649	BCL7B/SMARCD2/ATP5PB/SMARCA4/ATP6V1F/ATP6V1E1/CCDC115/SMARCC2/INO80C/ATP5PF/SS18L1/MCRS1	12
GO:0098803	GO:0098803	respiratory chain complex	9/487	110/22585	0.0818181818181818	3.79438118349823	4.36134627225526	0.000634256991304926	0.00833388014966589	0.00643974180695649	NDUFB2/DMAC2/COX6B1/NDUFB6/UQCRFS1/COX5A/CYC1/SDHD/NDUFS3	9
GO:0016282	GO:0016282	eukaryotic 43S preinitiation complex	4/487	19/22585	0.210526315789474	9.76332000432292	5.67291933128366	0.000639867202502437	0.00833388014966589	0.00643974180695649	EIF1B/EIF3M/EIF1/EIF3K	4
GO:0030687	GO:0030687	preribosome, large subunit precursor	4/487	19/22585	0.210526315789474	9.76332000432292	5.67291933128366	0.000639867202502437	0.00833388014966589	0.00643974180695649	MRTO4/PES1/ZNF622/BOP1	4
GO:0016363	GO:0016363	nuclear matrix	10/487	134/22585	0.0746268656716418	3.46087835974133	4.24143806860205	0.00066723155135454	0.00848337258150772	0.0065552573466411	HLTF/HNRNPM/PIAS4/SMARCD2/ATN1/SMARCA4/CHMP1A/DCAF7/SMARCC2/MBD1	10
GO:0034399	GO:0034399	nuclear periphery	11/487	159/22585	0.0691823899371069	3.20838660519417	4.14845311461866	0.000690959716683082	0.00858075555136664	0.00663050695078992	HLTF/HNRNPM/PIAS4/SMARCD2/ATN1/SMARCA4/CHMP1A/DCAF7/SMARCC2/MBD1/LEMD2	11
GO:0030496	GO:0030496	midbody	13/487	212/22585	0.0613207547169811	2.84379721824029	4.00412293825683	0.000735177464048697	0.00892238104095464	0.00689448722265764	POLDIP2/MARK4/CCDC124/WIZ/NUDC/LZTS2/CHMP3/CHMP1A/SAFB/USP50/CHMP6/GDI1/CHMP4A	13
GO:0070993	GO:0070993	translation preinitiation complex	4/487	20/22585	0.2	9.27515400410678	5.49619132599274	0.000786292939200574	0.00933067621184681	0.00720998437816667	EIF1B/EIF3M/EIF1/EIF3K	4
GO:0000793	GO:0000793	condensed chromosome	16/487	298/22585	0.0536912751677852	2.48997422929041	3.84370024094497	0.00080985201312016	0.0094013255436123	0.00726457641059732	NCAPH2/RANGAP1/SMARCD2/CHMP3/SMARCA4/CHMP1A/SMARCC2/DYNC1LI1/SEC13/PMF1/DCTN2/BANF1/CHMP6/SS18L1/HSF1/CHMP4A	16
GO:0044391	GO:0044391	ribosomal subunit	13/487	220/22585	0.0590909090909091	2.74038641030427	3.85088900630728	0.00103381746775802	0.0114462436552886	0.00884472208332965	MRPS34/MRPL28/MRPL4/MRPL27/MRPL2/MRPL37/MRPS7/MRPS12/NHP2/MRPL49/MRPS17/MPV17L2/MRPL45	13
GO:0030135	GO:0030135	coated vesicle	20/487	426/22585	0.0469483568075117	2.17726619814713	3.64160489397883	0.00103390408669026	0.0114462436552886	0.00884472208332965	CNIH1/COPZ1/CLINT1/ATP6V1F/COPB1/ATP6V1E1/IER3IP1/CCDC115/USO1/TEX261/HSPD1/SEC13/NECAP2/AP2M1/PEF1/YIF1B/CLTB/COPB2/BCAP31/VPS16	20
GO:0005684	GO:0005684	U2-type spliceosomal complex	9/487	118/22585	0.076271186440678	3.53713500156614	4.10204543428936	0.0010503107473954	0.0114462436552886	0.00884472208332965	U2AF2/PRPF6/SF3A2/YJU2B/PRPF31/BUD31/IK/RNF113A/TXNL4A	9
GO:0005776	GO:0005776	autophagosome	10/487	144/22585	0.0694444444444444	3.2205395847593	3.96832370527782	0.00116134098807488	0.0123864603971007	0.00957124477757436	TBC1D25/AUP1/CHMP3/TICAM1/CHMP1A/WDFY3/CHMP6/UBQLN2/VPS16/CHMP4A	10
GO:0015934	GO:0015934	large ribosomal subunit	9/487	120/22585	0.075	3.47818275154004	4.04072384068416	0.00118297655477928	0.0123864603971007	0.00957124477757436	MRPL28/MRPL4/MRPL27/MRPL2/MRPL37/NHP2/MRPL49/MPV17L2/MRPL45	9
GO:0140092	GO:0140092	bBAF complex	3/487	11/22585	0.272727272727273	12.6479372783274	5.73626932985706	0.00144509423591695	0.0148400061919163	0.0114671445441183	SMARCD2/SMARCA4/SMARCC2	3
GO:0005643	GO:0005643	nuclear pore	8/487	101/22585	0.0792079207920792	3.67332831845813	3.9972805097975	0.00154800021647165	0.0155968323697333	0.0120519579911994	RANGAP1/CHMP3/CHMP1A/EIF5A/SEC13/SNUPN/CHMP6/CHMP4A	8
GO:0098687	GO:0098687	chromosomal region	20/487	450/22585	0.0444444444444444	2.06114533424595	3.37543532528334	0.00197808243996976	0.0195610374619232	0.0151151718609775	RANGAP1/APEX1/ACD/SMARCD2/GAR1/CHMP3/WRNIP1/SMARCA4/CHMP1A/SMARCC2/DYNC1LI1/NHP2/SEC13/PMF1/PPP1CA/DCTN2/CHMP6/SS18L1/HSF1/CHMP4A	20
GO:0030137	GO:0030137	COPI-coated vesicle	4/487	26/22585	0.153846153846154	7.13473384931291	4.646339142578	0.00219056323258332	0.0212683775672635	0.016434464826271	COPZ1/COPB1/CCDC115/COPB2	4
GO:0005876	GO:0005876	spindle microtubule	7/487	84/22585	0.0833333333333333	3.86464750171116	3.90479601016636	0.0022523236259994	0.0214775145764943	0.0165960688231535	CHMP3/FAM110A/MAP1S/CHMP1A/BBLN/CHMP6/CHMP4A	7
GO:0008540	GO:0008540	proteasome regulatory particle, base subcomplex	3/487	13/22585	0.230769230769231	10.7021007739694	5.19446548798991	0.00242566850825627	0.0223328790242905	0.017257024595943	PSMC5/PSMD9/PSMC3	3
GO:0030126	GO:0030126	COPI vesicle coat	3/487	13/22585	0.230769230769231	10.7021007739694	5.19446548798991	0.00242566850825627	0.0223328790242905	0.017257024595943	COPZ1/COPB1/COPB2	3
GO:0071339	GO:0071339	MLL1 complex	5/487	44/22585	0.113636363636364	5.26997386596976	4.20875256686023	0.00248061003244072	0.0224516230054804	0.0173487802447237	PRPF31/PELP1/INO80C/DPY30/MCRS1	5
GO:0019774	GO:0019774	proteasome core complex, beta-subunit complex	4/487	27/22585	0.148148148148148	6.8704844474865	4.53099889537715	0.00252822323577987	0.0225011867984409	0.0173870790951879	PSMB1/PSMB5/PSMB7/PSMB6	4
GO:0035097	GO:0035097	histone methyltransferase complex	7/487	86/22585	0.0813953488372093	3.77477197841555	3.82721928517834	0.00257576165313306	0.022548470865132	0.017423616359416	SETD1A/PRMT5/PRPF31/PELP1/INO80C/DPY30/MCRS1	7
GO:0044665	GO:0044665	MLL1/2 complex	5/487	45/22585	0.111111111111111	5.15286333561488	4.13966663429604	0.00274204759347601	0.0236169905631643	0.0182492810974974	PRPF31/PELP1/INO80C/DPY30/MCRS1	5
GO:0016607	GO:0016607	nuclear speck	21/487	499/22585	0.0420841683366733	1.951685712287	3.19134471075071	0.00295404765832169	0.0250390706276791	0.0193481484053818	MAPK9/U2AF2/SETD1A/DDX17/APEX1/PRPF6/SF3A2/TIMM50/PRPF31/ELL/IK/TARDBP/RNF113A/MBD1/ZC3H18/U2AF1L4/PCBP1/RUFY1/DDX39B/STK19/RNPS1	21
GO:0035859	GO:0035859	Seh1-associated complex	3/487	14/22585	0.214285714285714	9.93766500440012	4.96593600633967	0.0030381204705281	0.0253493176759688	0.0195878819810364	NPRL3/RRAGA/SEC13	3
GO:0000775	GO:0000775	chromosome, centromeric region	14/487	279/22585	0.0501792114695341	2.32709957092285	3.31118304833541	0.00311788183163858	0.0256145984322308	0.0197928692793899	RANGAP1/SMARCD2/CHMP3/SMARCA4/CHMP1A/SMARCC2/DYNC1LI1/SEC13/PMF1/DCTN2/CHMP6/SS18L1/HSF1/CHMP4A	14
GO:0031461	GO:0031461	cullin-RING ubiquitin ligase complex	11/487	195/22585	0.0564102564102564	2.6160690780814	3.36464003351659	0.00350819336393863	0.028384473580958	0.0219332025305254	DMAC2/CRBN/RNF7/KLHDC3/FBXL12/DDA1/DCAF7/PEF1/USP47/COMMD1/KLHL25	11
GO:0034708	GO:0034708	methyltransferase complex	8/487	116/22585	0.0689655172413793	3.19832896693337	3.52385665440029	0.0036831690884206	0.0290379241899451	0.0224381357824926	HSD17B10/SETD1A/PRMT5/PRPF31/PELP1/INO80C/DPY30/MCRS1	8
GO:0005732	GO:0005732	sno(s)RNA-containing ribonucleoprotein complex	4/487	30/22585	0.133333333333333	6.18343600273785	4.21740570410725	0.00375209132791426	0.0290379241899451	0.0224381357824926	FBL/GAR1/NHP2/POP7	4
GO:0070847	GO:0070847	core mediator complex	4/487	30/22585	0.133333333333333	6.18343600273785	4.21740570410725	0.00375209132791426	0.0290379241899451	0.0224381357824926	MED15/MED10/MED19/MED8	4
GO:0031429	GO:0031429	box H/ACA snoRNP complex	2/487	5/22585	0.4	18.5503080082136	5.82634509924789	0.00444415408847486	0.0325092915513092	0.0251205249125039	GAR1/NHP2	2
GO:0071797	GO:0071797	LUBAC complex	2/487	5/22585	0.4	18.5503080082136	5.82634509924789	0.00444415408847486	0.0325092915513092	0.0251205249125039	RNF31/SHARPIN	2
GO:0072589	GO:0072589	box H/ACA scaRNP complex	2/487	5/22585	0.4	18.5503080082136	5.82634509924789	0.00444415408847486	0.0325092915513092	0.0251205249125039	GAR1/NHP2	2
GO:1990130	GO:1990130	GATOR1 complex	2/487	5/22585	0.4	18.5503080082136	5.82634509924789	0.00444415408847486	0.0325092915513092	0.0251205249125039	NPRL3/RRAGA	2
GO:0016586	GO:0016586	RSC-type complex	3/487	16/22585	0.1875	8.6954568788501	4.57116260856366	0.00452680044058204	0.0326402092657224	0.0252216874278793	SMARCD2/SMARCA4/SMARCC2	3
GO:0071005	GO:0071005	U2-type precatalytic spliceosome	6/487	72/22585	0.0833333333333333	3.86464750171116	3.61417502300864	0.00458429905417449	0.0326402092657224	0.0252216874278793	PRPF6/SF3A2/PRPF31/IK/RNF113A/TXNL4A	6
GO:0008180	GO:0008180	COP9 signalosome	5/487	52/22585	0.0961538461538462	4.45920865582057	3.70729675476916	0.0051589494696879	0.036248408115965	0.0280098087550922	COPS7A/FLOT1/COPS3/COPS6/COPS9	5
GO:0071011	GO:0071011	precatalytic spliceosome	6/487	74/22585	0.0810810810810811	3.76019756923248	3.53058818492235	0.00524402804383808	0.0363676750053186	0.0281019684645868	PRPF6/SF3A2/PRPF31/IK/RNF113A/TXNL4A	6
GO:0030688	GO:0030688	preribosome, small subunit precursor	3/487	17/22585	0.176470588235294	8.18395941538833	4.39875955138239	0.00540970792838596	0.0365668865032671	0.0282559028371392	RRP1/SLX9/NOC4L	3
GO:0071565	GO:0071565	nBAF complex	3/487	17/22585	0.176470588235294	8.18395941538833	4.39875955138239	0.00540970792838596	0.0365668865032671	0.0282559028371392	SMARCA4/SMARCC2/SS18L1	3
GO:0030663	GO:0030663	COPI-coated vesicle membrane	3/487	18/22585	0.166666666666667	7.72929500342231	4.23991679776389	0.0063888766402235	0.0412832197142711	0.0319002998777731	COPZ1/COPB1/COPB2	3
GO:0033290	GO:0033290	eukaryotic 48S preinitiation complex	3/487	18/22585	0.166666666666667	7.72929500342231	4.23991679776389	0.0063888766402235	0.0412832197142711	0.0319002998777731	EIF3M/EIF1/EIF3K	3
GO:0030118	GO:0030118	clathrin coat	5/487	55/22585	0.0909090909090909	4.21597909277581	3.54488698678823	0.0065523809790957	0.0412832197142711	0.0319002998777731	CLINT1/NECAP2/AP2M1/CLTB/AP4M1	5
GO:0070552	GO:0070552	BRISC complex	2/487	6/22585	0.333333333333333	15.4585900068446	5.25820658657827	0.00657129901818923	0.0412832197142711	0.0319002998777731	BABAM1/BABAM2	2
GO:0089701	GO:0089701	U2AF complex	2/487	6/22585	0.333333333333333	15.4585900068446	5.25820658657827	0.00657129901818923	0.0412832197142711	0.0319002998777731	U2AF2/U2AF1L4	2
GO:0090661	GO:0090661	box H/ACA telomerase RNP complex	2/487	6/22585	0.333333333333333	15.4585900068446	5.25820658657827	0.00657129901818923	0.0412832197142711	0.0319002998777731	GAR1/NHP2	2
GO:0071013	GO:0071013	catalytic step 2 spliceosome	7/487	103/22585	0.0679611650485437	3.15175136061881	3.24923898562751	0.00696284393779004	0.04323440305558	0.0334080149769118	HNRNPM/PRPF6/SF3A2/BUD31/RALY/HNRNPA1/DDX41	7
GO:1990204	GO:1990204	oxidoreductase complex	9/487	158/22585	0.0569620253164557	2.64165778597978	3.07407183066271	0.00744416185468958	0.0456917520736119	0.035306853563682	NDUFB2/IDH3B/BCKDK/DMAC2/NDUFB6/UQCRFS1/CYC1/SDHD/NDUFS3	9
GO:0000922	GO:0000922	spindle pole	10/487	187/22585	0.053475935828877	2.47998770163283	3.01691252602135	0.00757674039364455	0.0459770382977976	0.0355272994534529	RASSF1/EMD/IK/CEP104/FAM110A/DYNC1LI1/PMF1/HSF1/TMEM201/IKBKG	10
GO:0016469	GO:0016469	proton-transporting two-sector ATPase complex	5/487	58/22585	0.0862068965517241	3.99791120866671	3.39366923733557	0.00819020472828418	0.0491412283697051	0.0379723270666753	ATP5PB/ATP6V1F/ATP6V1E1/CCDC115/ATP5PF	5
