Subtype	SpliceSite	Metric	P_value	File
Basal	ENST00000667714:1	DFI	0.0891	salmon/DFI/Basal/0_5/DFI_ENST00000667714:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000656999:1	OS	0.0903	salmon/OS/Her2/0_5/OS_ENST00000656999:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000658305:1	DSS	0.0944	salmon/DSS/Basal/0_5/DSS_ENST00000658305:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000666147:1	DFI	0.1018	salmon/DFI/Her2/0_5/DFI_ENST00000666147:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000690350:1	DFI	0.106	salmon/DFI/LumB/0_5/DFI_ENST00000690350:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000658305:1	DFI	0.1096	salmon/DFI/LumA/0_5/DFI_ENST00000658305:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000667630:1	PFI	0.1105	salmon/PFI/LumB/0_5/PFI_ENST00000667630:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000667630:1	OS	0.1113	salmon/OS/LumB/0_5/OS_ENST00000667630:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000665372:1	OS	0.1138	salmon/OS/Basal/0_5/OS_ENST00000665372:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000666147:1	PFI	0.1143	salmon/PFI/LumA/0_5/PFI_ENST00000666147:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000658305:1	PFI	0.1179	salmon/PFI/LumA/0_5/PFI_ENST00000658305:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000667630:1	DSS	0.1211	salmon/DSS/LumB/0_5/DSS_ENST00000667630:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000671092:1	OS	0.1324	salmon/OS/Her2/0_5/OS_ENST00000671092:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000665372:1	DSS	0.1384	salmon/DSS/LumB/0_5/DSS_ENST00000665372:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000667305:1	PFI	0.1415	salmon/PFI/LumA/0_5/PFI_ENST00000667305:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000690350:1	DFI	0.1441	salmon/DFI/Basal/0_5/DFI_ENST00000690350:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000658305:1	OS	0.1485	salmon/OS/Basal/0_5/OS_ENST00000658305:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000517838:6	DFI	0.149	salmon/DFI/LumB/0_5/DFI_ENST00000517838:6_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000517838:6	PFI	0.1499	salmon/PFI/LumA/0_5/PFI_ENST00000517838:6_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000692980:1	PFI	0.1516	salmon/PFI/LumB/0_5/PFI_ENST00000692980:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000690350:1	PFI	0.152	salmon/PFI/LumB/0_5/PFI_ENST00000690350:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000667305:1	PFI	0.1549	salmon/PFI/Basal/0_5/PFI_ENST00000667305:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000657289:1	OS	0.155	salmon/OS/Her2/0_5/OS_ENST00000657289:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000666147:1	DSS	0.163	salmon/DSS/LumA/0_5/DSS_ENST00000666147:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000690350:1	DSS	0.1685	salmon/DSS/LumB/0_5/DSS_ENST00000690350:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000665372:1	PFI	0.1702	salmon/PFI/Basal/0_5/PFI_ENST00000665372:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000667305:1	OS	0.1722	salmon/OS/LumA/0_5/OS_ENST00000667305:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000658840:1	DFI	0.1783	salmon/DFI/LumA/0_5/DFI_ENST00000658840:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000690350:1	PFI	0.1803	salmon/PFI/Basal/0_5/PFI_ENST00000690350:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000671092:1	PFI	0.1822	salmon/PFI/Her2/0_5/PFI_ENST00000671092:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000692980:1	PFI	0.1838	salmon/PFI/Her2/0_5/PFI_ENST00000692980:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000658840:1	OS	0.1867	salmon/OS/Her2/0_5/OS_ENST00000658840:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000665372:1	DFI	0.1884	salmon/DFI/Her2/0_5/DFI_ENST00000665372:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000665372:1	DSS	0.1892	salmon/DSS/Basal/0_5/DSS_ENST00000665372:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000658305:1	PFI	0.1923	salmon/PFI/Basal/0_5/PFI_ENST00000658305:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000667630:1	OS	0.1998	salmon/OS/Her2/0_5/OS_ENST00000667630:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000656999:1	OS	0.2	salmon/OS/Basal/0_5/OS_ENST00000656999:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000662766:1	DFI	0.2003	salmon/DFI/LumB/0_5/DFI_ENST00000662766:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000671092:1	OS	0.2007	salmon/OS/LumB/0_5/OS_ENST00000671092:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000662766:1	PFI	0.2025	salmon/PFI/LumB/0_5/PFI_ENST00000662766:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000690350:1	DFI	0.205	salmon/DFI/Her2/0_5/DFI_ENST00000690350:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000657289:1	OS	0.2085	salmon/OS/LumA/0_5/OS_ENST00000657289:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000658305:1	DFI	0.2112	salmon/DFI/Her2/0_5/DFI_ENST00000658305:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000658305:1	OS	0.2235	salmon/OS/LumA/0_5/OS_ENST00000658305:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000692980:1	DFI	0.2241	salmon/DFI/LumA/0_5/DFI_ENST00000692980:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000517838:6	DFI	0.2251	salmon/DFI/LumA/0_5/DFI_ENST00000517838:6_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000517838:6	DSS	0.2263	salmon/DSS/LumB/0_5/DSS_ENST00000517838:6_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000667305:1	DSS	0.2288	salmon/DSS/LumA/0_5/DSS_ENST00000667305:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000665372:1	DSS	0.2289	salmon/DSS/LumA/0_5/DSS_ENST00000665372:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000667305:1	DFI	0.2301	salmon/DFI/Basal/0_5/DFI_ENST00000667305:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000692980:1	DSS	0.2308	salmon/DSS/Her2/0_5/DSS_ENST00000692980:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000670009:1	OS	0.2338	salmon/OS/LumA/0_5/OS_ENST00000670009:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000666147:1	DFI	0.2411	salmon/DFI/LumA/0_5/DFI_ENST00000666147:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000517838:6	DSS	0.2449	salmon/DSS/LumA/0_5/DSS_ENST00000517838:6_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000658305:1	DSS	0.2485	salmon/DSS/LumA/0_5/DSS_ENST00000658305:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000664214:1	OS	0.2489	salmon/OS/LumB/0_5/OS_ENST00000664214:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000658305:1	OS	0.2489	salmon/OS/Her2/0_5/OS_ENST00000658305:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000665737:1	DFI	0.2501	salmon/DFI/LumA/0_5/DFI_ENST00000665737:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000657289:1	DFI	0.2512	salmon/DFI/LumB/0_5/DFI_ENST00000657289:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000665372:1	DFI	0.2581	salmon/DFI/LumA/0_5/DFI_ENST00000665372:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000658840:1	OS	0.2582	salmon/OS/LumB/0_5/OS_ENST00000658840:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000517838:6	PFI	0.2623	salmon/PFI/LumB/0_5/PFI_ENST00000517838:6_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000662766:1	OS	0.2644	salmon/OS/Basal/0_5/OS_ENST00000662766:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000690350:1	OS	0.2654	salmon/OS/LumB/0_5/OS_ENST00000690350:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000665737:1	DSS	0.2671	salmon/DSS/Her2/0_5/DSS_ENST00000665737:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000670009:1	DFI	0.2696	salmon/DFI/Basal/0_5/DFI_ENST00000670009:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000692980:1	DFI	0.2704	salmon/DFI/LumB/0_5/DFI_ENST00000692980:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000667714:1	DFI	0.2748	salmon/DFI/Her2/0_5/DFI_ENST00000667714:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000665372:1	PFI	0.2799	salmon/PFI/LumA/0_5/PFI_ENST00000665372:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000690350:1	DSS	0.2814	salmon/DSS/Basal/0_5/DSS_ENST00000690350:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000517838:6	OS	0.2819	salmon/OS/LumA/0_5/OS_ENST00000517838:6_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000664214:1	PFI	0.2867	salmon/PFI/LumA/0_5/PFI_ENST00000664214:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000656999:1	PFI	0.2905	salmon/PFI/Basal/0_5/PFI_ENST00000656999:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000665737:1	DSS	0.2954	salmon/DSS/LumB/0_5/DSS_ENST00000665737:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000658840:1	DSS	0.2991	salmon/DSS/Her2/0_5/DSS_ENST00000658840:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000690350:1	DSS	0.3044	salmon/DSS/Her2/0_5/DSS_ENST00000690350:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000667714:1	DSS	0.3068	salmon/DSS/LumA/0_5/DSS_ENST00000667714:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000665372:1	OS	0.3089	salmon/OS/LumA/0_5/OS_ENST00000665372:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000667305:1	DFI	0.314	salmon/DFI/Her2/0_5/DFI_ENST00000667305:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000657289:1	PFI	0.3196	salmon/PFI/Her2/0_5/PFI_ENST00000657289:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000671092:1	DFI	0.3323	salmon/DFI/Her2/0_5/DFI_ENST00000671092:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000668098:1	DFI	0.3354	salmon/DFI/Basal/0_5/DFI_ENST00000668098:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000656999:1	DSS	0.3388	salmon/DSS/Basal/0_5/DSS_ENST00000656999:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000670009:1	OS	0.3391	salmon/OS/Her2/0_5/OS_ENST00000670009:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000667630:1	DSS	0.3422	salmon/DSS/Her2/0_5/DSS_ENST00000667630:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000657289:1	DSS	0.3424	salmon/DSS/LumA/0_5/DSS_ENST00000657289:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000667714:1	PFI	0.3436	salmon/PFI/Basal/0_5/PFI_ENST00000667714:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000665372:1	DFI	0.3455	salmon/DFI/Basal/0_5/DFI_ENST00000665372:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000664214:1	OS	0.3491	salmon/OS/Her2/0_5/OS_ENST00000664214:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000662766:1	DSS	0.3513	salmon/DSS/LumB/0_5/DSS_ENST00000662766:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000665737:1	OS	0.3521	salmon/OS/Her2/0_5/OS_ENST00000665737:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000668098:1	OS	0.3558	salmon/OS/LumA/0_5/OS_ENST00000668098:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000658305:1	DSS	0.3646	salmon/DSS/Her2/0_5/DSS_ENST00000658305:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000666147:1	DFI	0.3672	salmon/DFI/LumB/0_5/DFI_ENST00000666147:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000520913:2	DFI	0.3722	salmon/DFI/Basal/0_5/DFI_ENST00000520913:2_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000670009:1	DFI	0.3724	salmon/DFI/LumB/0_5/DFI_ENST00000670009:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000658305:1	DFI	0.3729	salmon/DFI/LumB/0_5/DFI_ENST00000658305:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000667630:1	DFI	0.3847	salmon/DFI/Her2/0_5/DFI_ENST00000667630:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000657289:1	PFI	0.3888	salmon/PFI/LumB/0_5/PFI_ENST00000657289:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000670009:1	DFI	0.3927	salmon/DFI/LumA/0_5/DFI_ENST00000670009:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000667630:1	DFI	0.3936	salmon/DFI/Basal/0_5/DFI_ENST00000667630:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000666147:1	PFI	0.3948	salmon/PFI/LumB/0_5/PFI_ENST00000666147:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000670009:1	OS	0.398	salmon/OS/Basal/0_5/OS_ENST00000670009:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000690350:1	DFI	0.4026	salmon/DFI/LumA/0_5/DFI_ENST00000690350:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000665372:1	PFI	0.4042	salmon/PFI/LumB/0_5/PFI_ENST00000665372:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000670009:1	PFI	0.4066	salmon/PFI/Her2/0_5/PFI_ENST00000670009:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000658840:1	DFI	0.4071	salmon/DFI/Basal/0_5/DFI_ENST00000658840:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000668098:1	PFI	0.4077	salmon/PFI/LumA/0_5/PFI_ENST00000668098:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000692980:1	OS	0.4164	salmon/OS/LumA/0_5/OS_ENST00000692980:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000670009:1	PFI	0.4169	salmon/PFI/Basal/0_5/PFI_ENST00000670009:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000664214:1	DFI	0.4216	salmon/DFI/Basal/0_5/DFI_ENST00000664214:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000667714:1	OS	0.4244	salmon/OS/LumB/0_5/OS_ENST00000667714:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000692980:1	OS	0.4245	salmon/OS/Her2/0_5/OS_ENST00000692980:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000692980:1	DSS	0.4312	salmon/DSS/Basal/0_5/DSS_ENST00000692980:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000667714:1	DFI	0.433	salmon/DFI/LumA/0_5/DFI_ENST00000667714:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000520913:2	DSS	0.4344	salmon/DSS/LumA/0_5/DSS_ENST00000520913:2_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000665372:1	DSS	0.441	salmon/DSS/Her2/0_5/DSS_ENST00000665372:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000671092:1	DSS	0.4479	salmon/DSS/Basal/0_5/DSS_ENST00000671092:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000670009:1	DSS	0.4496	salmon/DSS/Her2/0_5/DSS_ENST00000670009:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000667305:1	DFI	0.4522	salmon/DFI/LumA/0_5/DFI_ENST00000667305:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000671092:1	DFI	0.4528	salmon/DFI/Basal/0_5/DFI_ENST00000671092:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000665372:1	OS	0.4543	salmon/OS/LumB/0_5/OS_ENST00000665372:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000667305:1	DFI	0.4647	salmon/DFI/LumB/0_5/DFI_ENST00000667305:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000671092:1	DFI	0.4664	salmon/DFI/LumB/0_5/DFI_ENST00000671092:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000670009:1	PFI	0.4697	salmon/PFI/LumB/0_5/PFI_ENST00000670009:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000667630:1	PFI	0.4744	salmon/PFI/Her2/0_5/PFI_ENST00000667630:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000662766:1	DSS	0.477	salmon/DSS/Basal/0_5/DSS_ENST00000662766:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000664214:1	DSS	0.4789	salmon/DSS/LumB/0_5/DSS_ENST00000664214:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000520913:2	OS	0.4811	salmon/OS/Basal/0_5/OS_ENST00000520913:2_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000665372:1	PFI	0.4821	salmon/PFI/Her2/0_5/PFI_ENST00000665372:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000670009:1	DSS	0.4853	salmon/DSS/Basal/0_5/DSS_ENST00000670009:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000670009:1	DSS	0.4978	salmon/DSS/LumB/0_5/DSS_ENST00000670009:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000667630:1	OS	0.5037	salmon/OS/LumA/0_5/OS_ENST00000667630:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000690350:1	PFI	0.504	salmon/PFI/LumA/0_5/PFI_ENST00000690350:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000657289:1	DSS	0.5113	salmon/DSS/LumB/0_5/DSS_ENST00000657289:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000657289:1	OS	0.5119	salmon/OS/Basal/0_5/OS_ENST00000657289:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000657289:1	PFI	0.5154	salmon/PFI/Basal/0_5/PFI_ENST00000657289:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000666147:1	OS	0.5174	salmon/OS/LumB/0_5/OS_ENST00000666147:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000667305:1	OS	0.5217	salmon/OS/Basal/0_5/OS_ENST00000667305:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000690350:1	OS	0.5285	salmon/OS/LumA/0_5/OS_ENST00000690350:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000658840:1	PFI	0.5289	salmon/PFI/Her2/0_5/PFI_ENST00000658840:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000666147:1	DSS	0.5311	salmon/DSS/Basal/0_5/DSS_ENST00000666147:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000656999:1	PFI	0.5453	salmon/PFI/LumB/0_5/PFI_ENST00000656999:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000658305:1	OS	0.546	salmon/OS/LumB/0_5/OS_ENST00000658305:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000666147:1	OS	0.5505	salmon/OS/Her2/0_5/OS_ENST00000666147:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000658305:1	DFI	0.5538	salmon/DFI/Basal/0_5/DFI_ENST00000658305:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000658840:1	DSS	0.5545	salmon/DSS/Basal/0_5/DSS_ENST00000658840:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000690350:1	OS	0.5577	salmon/OS/Her2/0_5/OS_ENST00000690350:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000656999:1	OS	0.5588	salmon/OS/LumA/0_5/OS_ENST00000656999:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000662766:1	OS	0.5604	salmon/OS/Her2/0_5/OS_ENST00000662766:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000656999:1	PFI	0.5612	salmon/PFI/LumA/0_5/PFI_ENST00000656999:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000692980:1	DFI	0.5637	salmon/DFI/Her2/0_5/DFI_ENST00000692980:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000667714:1	OS	0.5639	salmon/OS/LumA/0_5/OS_ENST00000667714:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000658305:1	PFI	0.5653	salmon/PFI/LumB/0_5/PFI_ENST00000658305:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000520913:2	PFI	0.5658	salmon/PFI/Her2/0_5/PFI_ENST00000520913:2_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000667305:1	DSS	0.5662	salmon/DSS/LumB/0_5/DSS_ENST00000667305:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000666147:1	PFI	0.5707	salmon/PFI/Her2/0_5/PFI_ENST00000666147:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000664214:1	PFI	0.5721	salmon/PFI/LumB/0_5/PFI_ENST00000664214:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000662766:1	DFI	0.5808	salmon/DFI/Basal/0_5/DFI_ENST00000662766:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000656999:1	OS	0.5813	salmon/OS/LumB/0_5/OS_ENST00000656999:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000657289:1	DFI	0.5825	salmon/DFI/Basal/0_5/DFI_ENST00000657289:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000517838:6	PFI	0.5831	salmon/PFI/Her2/0_5/PFI_ENST00000517838:6_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000658840:1	DSS	0.5902	salmon/DSS/LumB/0_5/DSS_ENST00000658840:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000665372:1	OS	0.5974	salmon/OS/Her2/0_5/OS_ENST00000665372:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000665372:1	DFI	0.5994	salmon/DFI/LumB/0_5/DFI_ENST00000665372:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000658305:1	DSS	0.6001	salmon/DSS/LumB/0_5/DSS_ENST00000658305:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000692980:1	DSS	0.6011	salmon/DSS/LumB/0_5/DSS_ENST00000692980:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000517838:6	DSS	0.6012	salmon/DSS/Basal/0_5/DSS_ENST00000517838:6_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000667305:1	DSS	0.6013	salmon/DSS/Her2/0_5/DSS_ENST00000667305:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000657289:1	DFI	0.603	salmon/DFI/Her2/0_5/DFI_ENST00000657289:1_SalmonTPM_KaplanMeier.pdf
Basal	ENST00000667630:1	OS	0.6034	salmon/OS/Basal/0_5/OS_ENST00000667630:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000520913:2	DFI	0.6036	salmon/DFI/LumA/0_5/DFI_ENST00000520913:2_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000667714:1	PFI	0.613	salmon/PFI/Her2/0_5/PFI_ENST00000667714:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000517838:6	DFI	0.6171	salmon/DFI/Her2/0_5/DFI_ENST00000517838:6_SalmonTPM_KaplanMeier.pdf
